"","ID","PREMIUM","TIV","BLDG_LIMIT","DED","POSTALCODE","CITY","DISTRICT","COUNTYCODE","COUNTY","STATECODE","STATE","CRESTA","SUBCRESTA","COUNTRY","LATITUDE","LONGITUDE","ADDRMATCH","NUMBLDGS","BLDGSCHEME","BLDGCLASS","OCCSCHEME","OCCTYPE","NUMSTORIES","YEARBUILT","ELEVATION","DISTCOAST","WINDPOOL","NFIP_RATE","NFIPYEAR","ROOFSYS","ROOFGEOM","ROOFANCH","ROOFAGE","CLADSYS","FRAMEBOLT","CLADDING","EQSLINS","LANDSLIDE","LANDCOV","LIQUEFACT","LIQUECOV","SOILTYPE","SOILCOV","SOILPERIOD","SOILTHICKNESS","dis_min","wind_min","wind_speed","Loss"
"390","B11421",344385,18118601,18118599,0,"19145","PHILADELPHIA","","101","PHILADELPHIA COUNTY","PA","PENNSYLVANIA","","37980","US",39.9304,-75.18888,2,"1","RMS","2","NAICS",813910,3,"9999","33.6790008544922","23.8976993560791","0","0.100000001490116","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",337.29104832087,74.815,35,-344385
"391","B11423",39777,2092722,2092721,0,"19335","DOWNINGTOWN","","029","CHESTER COUNTY","PA","PENNSYLVANIA","","37980","US",40.01255,-75.68547,2,"1","RMS","2","NAICS",813910,1,"9999","282.890014648438","23.8448295593262","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",350.263377428327,74.815,35,-39777
"392","A1142302",1120,325402,147312,1000,"71270","RUSTON","","061","LINCOLN PARISH","LA","LOUISIANA","","","US",32.535044,-92.630935,2,"1","RMS","1","ATC",1,1,"1959","278.619995117188","191.24870300293","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",710.250327022621,103.59,35,-2120
"393","A1142313",800,168357,105223,5000,"31030","FORT VALLEY","","225","PEACH COUNTY","GA","GEORGIA","","","US",32.53722,-83.903567,2,"1","RMS","1","ATC",1,1,"1976","498.679992675781","167.54914855957","0","0","1975","0","0","0","0","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",202.538664092377,103.59,35,-5800
"394","A1142322",550,151916,72341,1000,"71107","SHREVEPORT","","017","CADDO PARISH","LA","LOUISIANA","","","US",32.537718,-93.85173,2,"1","RMS","1","ATC",1,1,"1950","199.089996337891","192.710433959961","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",781.449769926858,103.59,35,-1550
"396","A1142392",750,210117,98646,500,"19082","UPPER DARBY","","045","DELAWARE COUNTY","PA","PENNSYLVANIA","","37980","US",39.95094,-75.25757,2,"1","RMS","2","ATC",1,1,"1945","107.290000915527","23.0562305450439","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",339.593358345518,74.815,35,-1250
"398","A1142436",2356,816367,309882,1000,"17225","GREENCASTLE","","055","FRANKLIN COUNTY","PA","PENNSYLVANIA","","16540","US",39.79899,-77.77311,2,"1","RMS","1","ATC",1,1,"1930","617.75","74.8628768920898","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",369.400117042335,74.815,35,-3356
"399","B114257",141780,20828879,18648134,0,"02720","FALL RIVER","","005","BRISTOL COUNTY","MA","MASSACHUSETTS","","","US",41.754678,-71.121079,2,"1","FIRE","4","ATC",9,1,"9999","109.950996398926","2.78454143172091","0","0.100000001490116","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",442.206486018468,74.815,35,-141780
"400","F11428",57630,3031986,3031984,0,"19335","DOWNINGTOWN","","029","CHESTER COUNTY","PA","PENNSYLVANIA","","37980","US",40.00871,-75.71559,2,"1","RMS","2","NAICS",813910,3,"9999","259.190002441406","24.8665103912354","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",350.527703444622,74.815,35,-57630
"401","A1142817",900,230438,118376,2500,"60445","MIDLOTHIAN","","031","COOK COUNTY","IL","ILLINOIS","","","US",41.61236,-87.711701,2,"1","RMS","1","ATC",1,1,"1962","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",749.533023098266,74.815,35,-3400
"402","F114284",1020,136790,134159,0,"10989","VALLEY COTTAGE","","087","ROCKLAND COUNTY","NY","NEW YORK","","","US",41.126928,-73.931408,2,"1","FIRE","1","ATC",9,1,"9999","196.520004272461","15.7720804214478","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",409.843660831172,74.815,35,-1020
"403","A1142876",250,31725,15783,5000,"61832","DANVILLE","","183","VERMILION COUNTY","IL","ILLINOIS","","19180","US",40.12768,-87.60604,2,"1","RMS","1","ATC",1,1,"1950","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",671.030192448539,74.815,35,-5250
"404","F114291",16260,2577962,2138656,0,"01832","HAVERHILL","","009","ESSEX COUNTY","MA","MASSACHUSETTS","","14460","US",42.77312,-71.0828,2,"1","FIRE","0","ATC",9,1,"9999","21.4069995880127","14.1649703979492","0","0.100000001490116","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",512.475625657285,74.815,35,-16260
"405","A1143011",980,268108,128898,1000,"39120","NATCHEZ","","001","ADAMS COUNTY","MS","MISSISSIPPI","","","US",31.456191,-91.313457,2,"1","RMS","1","ATC",1,1,"1981","246.020004272461","115.128288269043","0","0","1975","0","0","0","0","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",636.248150887109,109.345,35,-1980
"406","A1143079",3500,937142,460350,5000,"37206","NASHVILLE","","037","DAVIDSON COUNTY","TN","TENNESSEE","","","US",36.179813,-86.744705,2,"1","RMS","1","ATC",1,1,"1925","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",459.861914374338,103.59,35,-8500
"407","A1143135",1500,481395,197293,1000,"17104","HARRISBURG","","043","DAUPHIN COUNTY","PA","PENNSYLVANIA","","","US",40.261563,-76.868461,2,"1","RMS","2","ATC",1,1,"1909","404.089996337891","63.2392082214355","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",383.380704883219,74.815,35,-2500
"408","F114324",10000,4603503,1315287,0,"22620","BOYCE","","043","CLARKE COUNTY","VA","VIRGINIA","","47900","US",39.08247,-78.08265,2,"1","FIRE","6","ATC",0,1,"9999","571.049987792969","72.9326324462891","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",332.96307394376,74.815,35,-10000
"410","A1143281",1400,377224,184140,1000,"47115","DEPAUW","","061","HARRISON COUNTY","IN","INDIANA","","","US",38.318133,-86.213488,2,"1","RMS","1","ATC",1,1,"1987","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",530.797991060098,74.815,35,-2400
"411","B114329",20000,7891720,2630573,0,"26847","PETERSBURG","","023","GRANT COUNTY","WV","WEST VIRGINIA","","","US",38.9939,-79.115501,2,"1","FIRE","7","ATC",0,1,"9999","996.929992675781","122.156898498535","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",359.800327150805,74.815,35,-20000
"412","A1143295",3100,636993,407739,1000,"06704","WATERBURY","","009","NEW HAVEN COUNTY","CT","CONNECTICUT","","","US",41.564097,-73.027605,2,"1","RMS","1","ATC",1,1,"1910","545.609985351563","19.984260559082","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",430.072038160168,74.815,35,-4100
"414","A1143348",1230,299293,161780,2500,"74012","BROKEN ARROW","","143","TULSA COUNTY","OK","OKLAHOMA","","","US",36.042477,-95.803112,2,"1","RMS","1","ATC",1,1,"1979","0","0","0","0","9999","0","0","0","0","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",919.825583882356,103.59,35,-3730
"415","F114338",20000,7891720,2630573,0,"24179","VINTON","","161","ROANOKE COUNTY","VA","VIRGINIA","","","US",37.272649,-79.889028,2,"1","FIRE","5","ATC",0,1,"9999","1074.05004882813","170.77522277832","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",258.376957046162,74.815,35,-20000
"416","A1143411",800,233595,105223,2500,"46562","PIERCETON","","085","KOSCIUSKO COUNTY","IN","INDIANA","","47700","US",41.21072,-85.76559,2,"1","RMS","1","ATC",1,1,"1970","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",659.194385909258,74.815,35,-3300
"417","A1143446",1038,150995,136527,1000,"14741","GREAT VALLEY","","009","CATTARAUGUS COUNTY","NY","NEW YORK","","","US",42.23922,-78.607704,2,"1","RMS","1","ATC",1,1,"2006","1533.63000488281","229.966247558594","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",541.924454317215,74.815,35,-2038
"418","A1143465",1000,199924,131529,5000,"30088","STONE MOUNTAIN","","089","DEKALB COUNTY","GA","GEORGIA","","","US",33.746444,-84.171318,2,"1","RMS","1","ATC",1,1,"1986","913.299987792969","217.380416870117","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",245.145969770464,103.59,35,-6000
"419","A1143488",400,116797,52611,2500,"71901","HOT SPRINGS","","051","GARLAND COUNTY","AR","ARKANSAS","","26300","US",34.49448,-93.03019,2,"1","RMS","1","ATC",1,1,"1942","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",744.712102599702,103.59,35,-2900
"422","F114355",10000,4603503,1315287,0,"30087","STONE MOUNTAIN","","089","DEKALB COUNTY","GA","GEORGIA","","12060","US",33.78562,-84.1018,2,"1","FIRE","3","ATC",0,1,"9999","913.299987792969","217.380416870117","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",242.966336425297,103.59,35,-10000
"423","B114363",10000,4603503,1315287,0,"30040","CUMMING","","117","FORSYTH COUNTY","GA","GEORGIA","","","US",34.18696,-84.142411,2,"1","FIRE","6","ATC",0,1,"9999","1182.18994140625","230.631103515625","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",259.7102634106,103.59,35,-10000
"424","A1143714",1000,247274,131529,1000,"37411","CHATTANOOGA","","065","HAMILTON COUNTY","TN","TENNESSEE","","","US",35.028117,-85.231233,2,"1","RMS","2","ATC",1,1,"1962","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",343.976613410113,103.59,35,-2000
"425","A1143750",1250,292914,164411,1000,"04252","LISBON FALLS","","001","ANDROSCOGGIN COUNTY","ME","MAINE","","30340","US",43.99773,-70.06137,2,"1","RMS","1","ATC",1,1,"1900","123.669998168945","9.5088376997691","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",603.672455783639,74.815,35,-2250
"428","B114394",250,6576,2631,0,"20619","CALIFORNIA","","037","ST. MARY'S COUNTY","MD","MARYLAND","","","US",38.311964,-76.538841,2,"1","FIRE","0","ATC",0,1,"9999","98.4199981689453","6.33695241840159","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",249.207400715102,74.815,35,-250
"429","A1143947",1766,291457,232319,500,"28303","FAYETTEVILLE","","051","CUMBERLAND COUNTY","NC","NORTH CAROLINA","","","US",35.097763,-79.008788,2,"1","RMS","2","ATC",1,1,"1972","245.529998779297","86.9265213012695","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",100.948544310529,74.815,35,-2266
"430","A1143975",2000,641860,263057,5000,"19125","PHILADELPHIA","","101","PHILADELPHIA COUNTY","PA","PENNSYLVANIA","","","US",39.972315,-75.126448,2,"1","RMS","2","ATC",1,1,"1925","18.9130001068115","28.1846599578857","0","0.100000001490116","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",339.295843891248,74.815,35,-7000
"435","B114410",10000,4603503,1315287,0,"27587","WAKE FOREST","","183","WAKE COUNTY","NC","NORTH CAROLINA","","","US",35.978849,-78.537786,2,"1","FIRE","4","ATC",0,1,"9999","347.489990234375","97.6562881469727","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",151.958455122022,74.815,35,-10000
"436","B114415",20000,7891720,2630573,0,"27713","DURHAM","","063","DURHAM COUNTY","NC","NORTH CAROLINA","","20500","US",35.90975,-78.93203,2,"1","FIRE","3","ATC",0,1,"9999","325.779998779297","119.038841247559","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",151.764026840987,74.815,35,-20000
"437","A1144154",985,279137,129556,2500,"73942","GUYMON","","139","TEXAS COUNTY","OK","OKLAHOMA","","","US",36.696613,-101.473709,2,"1","RMS","2","ATC",1,1,"1975","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1238.47261228906,103.59,35,-3485
"440","A1144309",400,118902,52611,1000,"63110","SAINT LOUIS","","510","ST. LOUIS CITY","MO","MISSOURI","","","US",38.618344,-90.244214,2,"1","RMS","2","ATC",1,1,"1913","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",715.00809581852,103.59,35,-1400
"441","F114435",4000,2046586,526115,0,"07731","HOWELL","","025","MONMOUTH COUNTY","NJ","NEW JERSEY","","","US",40.131186,-74.225601,2,"1","FIRE","5","ATC",0,1,"9999","112.089996337891","6.76111240621795","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",342.376699212184,74.815,35,-4000
"442","F114437",20000,7891720,2630573,0,"07095","WOODBRIDGE TOWNSHIP","","023","MIDDLESEX COUNTY","NJ","NEW JERSEY","","35620","US",40.56638,-74.28811,2,"1","FIRE","3","ATC",0,1,"9999","44.5900001525879","4.3009990594573","0","0.100000001490116","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",372.659140396759,74.815,35,-20000
"443","B11444",142138,7478071,7478070,0,"19138","PHILADELPHIA","","101","PHILADELPHIA COUNTY","PA","PENNSYLVANIA","","37980","US",40.05144,-75.15178,2,"1","RMS","2","NAICS",813910,1,"9999","247.160003662109","31.7346305847168","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",344.932321631713,74.815,35,-142138
"444","F114445",10000,4603503,1315287,0,"22701","CULPEPER","","047","CULPEPER COUNTY","VA","VIRGINIA","","47900","US",38.47322,-77.99647,2,"1","FIRE","5","ATC",0,1,"9999","413.059997558594","50.6687698364258","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",294.813649925144,74.815,35,-10000
"445","A1144523",1250,332110,164411,1000,"62272","PERCY","","157","RANDOLPH COUNTY","IL","ILLINOIS",""," ","US",38.0154,-89.61305,2,"1","RMS","1","ATC",1,1,"1964","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",662.64792363559,103.59,35,-2250
"446","A1144566",1000,256481,131529,1000,"27209","BISCOE","","123","MONTGOMERY COUNTY","NC","NORTH CAROLINA","","","US",35.359052,-79.787286,2,"1","RMS","2","ATC",1,1,"1947","609.179992675781","122.037567138672","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",140.742512581233,74.815,35,-2000
"448","A1144608",2000,389325,263057,2500,"06226","WILLIMANTIC","","015","WINDHAM COUNTY","CT","CONNECTICUT","","49340","US",41.71537,-72.22019,2,"1","RMS","1","ATC",1,1,"1900","290.890014648438","27.1942100524902","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",437.093863666529,74.815,35,-4500
"449","A1144694",3735,544535,491266,1000,"60062","NORTHBROOK","","031","COOK COUNTY","IL","ILLINOIS","","","US",42.122189,-87.863098,2,"1","RMS","2","ATC",1,1,"1968","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",779.564390259239,74.815,35,-4735
"450","A1144731",1038,168743,136527,1000,"30310","ATLANTA","","121","FULTON COUNTY","GA","GEORGIA","","","US",33.702295,-84.413379,2,"1","RMS","3","ATC",1,1,"1953","947.369995117188","233.096878051758","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",256.106467584028,103.59,35,-2038
"451","A1144798",900,400505,118376,1000,"35801","HUNTSVILLE","","089","MADISON COUNTY","AL","ALABAMA","","","US",34.742256,-86.57981,2,"1","RMS","1","ATC",1,1,"1947","703.919982910156","287.091735839844","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",399.131030250407,103.59,35,-1900
"452","B114480",10000,4603503,1315287,0,"28001","ALBEMARLE","","167","STANLY COUNTY","NC","NORTH CAROLINA","","","US",35.386546,-80.193081,2,"1","FIRE","5","ATC",0,1,"9999","543.530029296875","134.296752929688","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",157.897119382149,74.815,35,-10000
"454","F114486",10000,4603503,1315287,0,"27103","WINSTON-SALEM","","067","FORSYTH COUNTY","NC","NORTH CAROLINA","","49180","US",36.06397,-80.30117,2,"1","FIRE","3","ATC",0,1,"9999","826.72998046875","180.716384887695","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",196.806803040011,74.815,35,-10000
"455","B114489",10000,4603503,1315287,0,"27106","WINSTON SALEM","","067","FORSYTH COUNTY","NC","NORTH CAROLINA","","49180","US",36.15143,-80.28338,2,"1","FIRE","3","ATC",0,1,"9999","924.780029296875","183.878677368164","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",201.023506644048,74.815,35,-10000
"456","A1144908",350,98449,46035,1000,"71291","WEST MONROE","","073","OUACHITA PARISH","LA","LOUISIANA","","33740","US",32.50778,-92.13206,2,"1","RMS","1","ATC",1,1,"1960","95.3899993896484","187.249206542969","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",681.15510300712,103.59,35,-1350
"457","A1144921",650,166713,85494,1000,"45631","GALLIPOLIS","","053","GALLIA COUNTY","OH","OHIO","","38580","US",38.80926,-82.21493,2,"1","RMS","1","ATC",1,1,"1945","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",412.467186343485,74.815,35,-1650
"458","B114502",250,3946,1315,0,"03037","DEERFIELD","","015","ROCKINGHAM COUNTY","NH","NEW HAMPSHIRE","","14460","US",43.1327,-71.24068,2,"1","FIRE","9","ATC",0,1,"9999","414.619995117188","25.2675399780273","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",536.527454304165,74.815,35,-250
"460","B114511",20000,7891720,2630573,0,"20904","SILVER SPRING","","031","MONTGOMERY COUNTY","MD","MARYLAND","","47900","US",39.08261,-76.9471,2,"1","FIRE","3","ATC",0,1,"9999","408.220001220703","21.6032905578613","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",306.829184673343,74.815,35,-20000
"461","A1145111",5500,1012771,723408,5000,"22101","MC LEAN","","059","FAIRFAX COUNTY","VA","VIRGINIA","","","US",38.942181,-77.132651,2,"1","RMS","2","ATC",1,1,"1970","157.48030090332","31.6030502319336","0","0.100000001490116","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",301.389192163238,74.815,35,-10500
"462","A1145137",1800,519275,236752,1000,"17603","LANCASTER","","071","LANCASTER COUNTY","PA","PENNSYLVANIA","","","US",40.008937,-76.307185,2,"1","RMS","1","ATC",1,1,"1986","315.190002441406","35.0205612182617","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",359.617492193257,74.815,35,-2800
"464","F114523",10000,4603503,1315287,0,"27028","MOCKSVILLE","","059","DAVIE COUNTY","NC","NORTH CAROLINA","","49180","US",35.91895,-80.58459,2,"1","FIRE","5","ATC",0,1,"9999","798.119995117188","181.042266845703","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",199.529728937573,74.815,35,-10000
"465","A1145267",1420,344973,186771,2500,"63379","TROY","","113","LINCOLN COUNTY","MO","MISSOURI","","","US",38.966937,-90.985248,2,"1","RMS","1","ATC",1,1,"2000","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",761.478525600575,103.59,35,-3920
"466","B114536",10000,4603503,1315287,0,"21740","HAGERSTOWN","","043","WASHINGTON COUNTY","MD","MARYLAND","","25180","US",39.61436,-77.69165,2,"1","FIRE","3","ATC",0,1,"9999","539.869995117188","67.3806991577148","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",355.974957307335,74.815,35,-10000
"467","F11454",38055,2002154,2002153,0,"19013","CHESTER","","045","DELAWARE COUNTY","PA","PENNSYLVANIA","","","US",39.864332,-75.361573,2,"1","RMS","2","NAICS",813910,3,"9999","88.0130004882813","14.3987998962402","0","0.100000001490116","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",335.314135548334,74.815,35,-38055
"470","F114557",20000,7891720,2630573,0,"15314","BENTLEYVILLE","","125","WASHINGTON COUNTY","PA","PENNSYLVANIA","","38300","US",40.12991,-80.00171,2,"1","FIRE","6","ATC",0,1,"9999","1059.91003417969","198.347946166992","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",449.09016328144,74.815,35,-20000
"472","A1145735",2000,489287,263057,1000,"46123","AVON","","063","HENDRICKS COUNTY","IN","INDIANA","","","US",39.755453,-86.399552,5,"1","RMS","1","ATC",1,1,"1960","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",608.220620059243,74.815,35,-3000
"475","F114581",4000,2046586,526115,0,"16001","BUTLER","","019","BUTLER COUNTY","PA","PENNSYLVANIA","","38300","US",40.87789,-79.94349,2,"1","FIRE","4","ATC",0,1,"9999","1175.93005371094","213.590713500977","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",490.710082675961,74.815,35,-4000
"476","A1145820",2150,482053,282787,1000,"28043","FOREST CITY","","161","RUTHERFORD COUNTY","NC","NORTH CAROLINA","","","US",35.249158,-81.847983,2,"1","RMS","2","ATC",1,1,"1970","896.919982910156","199.466323852539","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",209.43805282726,74.815,35,-3150
"477","A1145872",1000,323561,131529,5000,"44120","CLEVELAND","","035","CUYAHOGA COUNTY","OH","OHIO","","","US",41.466978,-81.58942,2,"1","RMS","1","ATC",1,1,"1926","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",561.881495055392,74.815,35,-6000
"480","B114590",10000,3945860,1315287,0,"30906","AUGUSTA","","245","RICHMOND COUNTY","GA","GEORGIA","","","US",33.394949,-82.004742,2,"1","FIRE","3","ATC",0,1,"9999","316.809997558594","100.135322570801","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",130.340351912756,103.59,35,-10000
"482","F114596",20000,7891720,2630573,0,"22193","WOODBRIDGE","","153","PRINCE WILLIAM COUNTY","VA","VIRGINIA","","","US",38.640185,-77.29517,2,"1","FIRE","4","ATC",0,1,"9999","194.199996948242","22.3968105316162","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",285.91258301254,74.815,35,-20000
"484","A1146019",2342,382846,308073,1000,"28677","STATESVILLE","","097","IREDELL COUNTY","NC","NORTH CAROLINA","","","US",35.803722,-80.873382,2,"1","RMS","2","ATC",1,1,"1955","881.890014648438","185.6806640625","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",205.613876314034,74.815,35,-3342
"485","A1146026",500,117061,65764,1000,"39208","PEARL","","121","RANKIN COUNTY","MS","MISSISSIPPI","","27140","US",32.30941,-90.05198,2,"1","RMS","1","ATC",1,1,"1988","332.049987792969","142.594863891602","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",559.716434442027,103.59,35,-1500
"486","B114605",10000,4603503,1315287,0,"14120","NORTH TONAWANDA","","063","NIAGARA COUNTY","NY","NEW YORK","","15380","US",43.05208,-78.87505,2,"1","FIRE","3","ATC",0,1,"9999","575.669982910156","281.419250488281","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",599.263327931846,74.815,35,-10000
"488","A1146212",1000,210446,131529,500,"39828","CAIRO","","131","GRADY COUNTY","GA","GEORGIA","","","US",30.88573,-84.16862,2,"1","RMS","2","ATC",1,1,"1972","230.820007324219","51.4279708862305","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",212.046039660127,109.345,35,-1500
