"","ID","PREMIUM","TIV","BLDG_LIMIT","DED","POSTALCODE","CITY","DISTRICT","COUNTYCODE","COUNTY","STATECODE","STATE","CRESTA","SUBCRESTA","COUNTRY","LATITUDE","LONGITUDE","ADDRMATCH","NUMBLDGS","BLDGSCHEME","BLDGCLASS","OCCSCHEME","OCCTYPE","NUMSTORIES","YEARBUILT","ELEVATION","DISTCOAST","WINDPOOL","NFIP_RATE","NFIPYEAR","ROOFSYS","ROOFGEOM","ROOFANCH","ROOFAGE","CLADSYS","FRAMEBOLT","CLADDING","EQSLINS","LANDSLIDE","LANDCOV","LIQUEFACT","LIQUECOV","SOILTYPE","SOILCOV","SOILPERIOD","SOILTHICKNESS","dis_min","wind_min","wind_speed","Loss"
"25","A1026131",1500,611608,197293,1000,"12047","COHOES","","001","ALBANY COUNTY","NY","NEW YORK","","","US",42.776416,-73.716199,2,"1","RMS","1","ATC",1,1,"1900","266.880004882813","109.07991027832","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",518.561637598094,74.815,35,-2500
"30","F102630",17709,2724080,2329257,53127,"33025","MIRAMAR","","011","BROWARD COUNTY","FL","FLORIDA","","33100","US",25.99432,-80.2683,2,"1","RMS","3C","ATC",2,3,"2012","5.57000017166138","9.40211473658843","0","0.600000023841858","1975","5","4","3","1","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",101.109733370038,132.365,35,-70836
"33","A1026363",1370,180169,180169,1000,"62703","SPRINGFIELD","","167","SANGAMON COUNTY","IL","ILLINOIS","","44100","US",39.77397,-89.63301,2,"1","RMS","1","ATC",1,1,"1948","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",737.004115080387,74.815,35,-2370
"35","A1026376",2000,741822,263057,1000,"60649","CHICAGO","","031","COOK COUNTY","IL","ILLINOIS","","","US",41.759923,-87.569159,2,"1","RMS","2","ATC",1,1,"1913","0","0","0","0","9999","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",751.236363453058,74.815,35,-3000
"36","F102638",4225,785884,555709,17925,"33025","MIRAMAR","","011","BROWARD COUNTY","FL","FLORIDA","","33100","US",25.99439,-80.26598,2,"1","RMS","4C","ATC",10,1,"2012","6.89599990844727","9.25837705675836","0","0.600000023841858","1975","5","4","3","1","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",101.01222190041,132.365,35,-22150
"37","F10264",43920,2310688,2310686,0,"19063","MEDIA","","045","DELAWARE COUNTY","PA","PENNSYLVANIA","","","US",39.946501,-75.408644,2,"1","RMS","2","NAICS",813910,1,"9999","234.229995727539","16.381950378418","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",341.472653027336,74.815,35,-43920
"38","B102643",250,32882,32882,750,"33025","MIRAMAR","","011","BROWARD COUNTY","FL","FLORIDA","","33100","US",25.99439,-80.26598,2,"1","RMS","3","ATC",10,1,"2012","6.89599990844727","9.25837705675836","0","0.600000023841858","1975","5","4","3","1","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",101.01222190041,132.365,35,-1000
"39","A1026546",965,187876,126925,500,"28630","GRANITE FALLS","","027","CALDWELL COUNTY","NC","NORTH CAROLINA","","","US",35.773593,-81.398284,2,"1","RMS","1","ATC",1,1,"1999","1087.91003417969","199.678665161133","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",223.23328726066,74.815,35,-1465
"41","F102658",27300,3590732,3590732,81900,"33458","JUPITER","","099","PALM BEACH COUNTY","FL","FLORIDA","","","US",26.903686,-80.109246,2,"1","RMS","3A","ATC",2,3,"2004","9.8439998626709","2.92305106855106","0","0.100000001490116","1975","9","4","3","3","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",57.671489853636,132.365,35,-109200
"42","A1026626",750,301201,98646,1000,"14608","ROCHESTER","","055","MONROE COUNTY","NY","NEW YORK","","","US",43.144477,-77.622424,2,"1","RMS","1","ATC",1,1,"1900","516.47998046875","250.33984375","0","0","1975","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",586.208931537255,74.815,35,-1750
